,Nme of book,Price,Rating stars,Rating count,Link to the book
229,DATA SCIENCE: A Comprehensive Beginner’s Guide to Learn About the Realms of Data Science from A-Z,19.99,4.3 out of 5 stars,6,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1Njg4NDkyMTQxNzcyODQ0OjE2NjI0MTUwNDk6c3BfYnRmOjIwMDAyNTgyOTg4NzY0MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FDATA-SCIENCE-Comprehensive-Beginners-Z%2Fdp%2FB087L8RRW8%2Fref%3Dsr_1_176_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415049%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-176-spons%26psc%3D1
230,"Time Series Analysis with Python Cookbook: Practical recipes for exploratory data analysis, data preparation, forecasting, and model evaluation",47.49,4.9 out of 5 stars,10,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1Njg4NDkyMTQxNzcyODQ0OjE2NjI0MTUwNDk6c3BfYnRmOjIwMDA3MDI5OTU3OTE5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FTime-Analysis-Python-Cookbook-exploratory%2Fdp%2F1801075549%2Fref%3Dsr_1_177_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415049%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-177-spons%26psc%3D1
231,The PI Guidebook: How the Promotability Index® Can Help You Get Ahead in Your Career,18.09,4.8 out of 5 stars,103,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mzk5ODA1NTY2MTY1MDY5OjE2NjI0MTUwNjA6c3BfYXRmX25leHQ6MjAwMDk3ODY2NDQzNTcxOjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FPI-Guidebook-Promotability-Index%25C2%25AE-Career%2Fdp%2F1737029308%2Fref%3Dsr_1_169_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415060%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-169-spons%26psc%3D1
232,"Trading Bible: 4 Books In 1: Day Trading Guide to Learn How Investing in Stock Market, Options, Futures, Forex, Commodities, Bitcoin With The Best Strategies to Make High Profits for a Living.",24.31,4.5 out of 5 stars,125,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mzk5ODA1NTY2MTY1MDY5OjE2NjI0MTUwNjA6c3BfYXRmX25leHQ6MjAwMDM3Nzg1MzQxNTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FTrading-Bible-Investing-Commodities-Strategies%2Fdp%2FB0915M65ZR%2Fref%3Dsr_1_170_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415060%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-170-spons%26psc%3D1
233,Accidental Agile Project Manager: Zero to Hero in 7 Iterations (Accidental Project Manager),22.47,4.0 out of 5 stars,30,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mzk5ODA1NTY2MTY1MDY5OjE2NjI0MTUwNjA6c3BfYXRmX25leHQ6MjAwMDQ1NTk1MzY4MDgxOjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FAccidental-Agile-Project-Manager-Iterations%2Fdp%2F0989377091%2Fref%3Dsr_1_171_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415060%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-171-spons%26psc%3D1
234,Observability Engineering: Achieving Production Excellence,39.54,4.2 out of 5 stars,44,https://www.amazon.com/Observability-Engineering-Achieving-Production-Excellence/dp/1492076449/ref=sr_1_172?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-172
235,Data Visualization in Python,59.00,3.5 out of 5 stars,11,https://www.amazon.com/Data-Visualization-Python-Daniel-Nelson/dp/B08TZ9LWWX/ref=sr_1_173?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-173
236,Python Programming for Beginners: The Ultimate Crash Course to Learn Python in 7 Days with Step-by-Step Guidance and Hands-On Exercises,19.61,4.6 out of 5 stars,181,https://www.amazon.com/Python-Programming-Beginners-Step-Hands/dp/B0B3S3RFQT/ref=sr_1_174?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-174
237,Outstanding User Interfaces with Shiny (Chapman & Hall/CRC The R Series),69.95,0,0,https://www.amazon.com/Outstanding-User-Interfaces-Shiny-Chapman/dp/0367643650/ref=sr_1_175?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-175
238,"The ABCs of Data Science: By Real Data Scientists, For Future Data Scientists (Very Young Professionals)",14.99,4.7 out of 5 stars,25,https://www.amazon.com/ABCs-Data-Science-Scientists-Professionals/dp/1734276304/ref=sr_1_176?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-176
239,Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques,35.99,4.4 out of 5 stars,50,https://www.amazon.com/Marketing-Analytics-Practical-Improving-Techniques/dp/0749482168/ref=sr_1_177?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-177
240,Statistics: The Art and Science of Learning from Data,62.35,4.4 out of 5 stars,122,https://www.amazon.com/Statistics-Art-Science-Learning-Data/dp/0321997832/ref=sr_1_178?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-178
241,Statistical Foundations of Data Science (Chapman & Hall/CRC Data Science Series),95.35,4.2 out of 5 stars,4,https://www.amazon.com/Statistical-Foundation-Monographs-Statistics-Probability/dp/1466510846/ref=sr_1_179?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-179
242,"Practical Python Data Wrangling and Data Quality: Getting Started with Reading, Cleaning, and Analyzing Data",31.99,3.5 out of 5 stars,2,https://www.amazon.com/Practical-Python-Data-Wrangling-Quality/dp/1492091502/ref=sr_1_180?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-180
243,The Handbook of Data Science and AI: Generate Value from Data with Machine Learning and Data Analytics,51.00,4.8 out of 5 stars,9,https://www.amazon.com/Handbook-Data-Science-AI-Analytics/dp/1569908869/ref=sr_1_181?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-181
244,Exemplary Evidence: Scientists and Their Data,14.95,4.7 out of 5 stars,38,https://www.amazon.com/Exemplary-Evidence-Scientists-Their-Data/dp/1681403617/ref=sr_1_182?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-182
245,The Political Philosophy of AI: An Introduction,19.59,3.5 out of 5 stars,6,https://www.amazon.com/Political-Philosophy-AI-Introduction/dp/1509548548/ref=sr_1_183?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-183
246,Comet for Data Science: Enhance your ability to manage and optimize the life cycle of your data science project,44.99,0,0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mzk5ODA1NTY2MTY1MDY5OjE2NjI0MTUwNjA6c3BfbXRmOjIwMDA3NjIxMTIwMjA5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FComet-Data-Science-Enhance-optimize%2Fdp%2F1801814430%2Fref%3Dsr_1_184_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415060%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-184-spons%26psc%3D1
247,Business Intelligence Guidebook: From Data Integration to Analytics,54.95,4.4 out of 5 stars,91,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mzk5ODA1NTY2MTY1MDY5OjE2NjI0MTUwNjA6c3BfbXRmOjIwMDA4NDk0MTgwNDMyMTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FBusiness-Intelligence-Guidebook-Integration-Analytics%2Fdp%2F012411461X%2Fref%3Dsr_1_185_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415060%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-185-spons%26psc%3D1
248,DATA SCIENCE: Simple and Effective Tips and Tricks to Learn Data Science,14.39,3.9 out of 5 stars,6,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mzk5ODA1NTY2MTY1MDY5OjE2NjI0MTUwNjA6c3BfbXRmOjIwMDAzMDc5OTA5ODU0MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FDATA-SCIENCE-Simple-Effective-Science%2Fdp%2FB08GLMMXMG%2Fref%3Dsr_1_186_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415060%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-186-spons%26psc%3D1
249,Eco-Stats: Data Analysis in Ecology: From t-tests to Multivariate Abundances (Methods in Statistical Ecology),139.99,0,0,https://www.amazon.com/Modern-Regression-Analysis-in-Ecology-_Methods-in-Statistical-Ecology_/dp/3030884422/ref=sr_1_187?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-187
250,"Data Science Interview: Prep for SQL, Panda, Python, R Language, Machine Learning, DBMS and RDBMS – And More – The Full Data Scientist Interview Handbook",0.00,4.8 out of 5 stars,49,https://www.amazon.com/Data-Science-Interview-Language-Scientist-ebook/dp/B09PX25VQ3/ref=sr_1_188?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-188
251,"The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling, 3rd Edition",21.99,4.7 out of 5 stars,526,https://www.amazon.com/Data-Warehouse-Toolkit-Definitive-Dimensional/dp/1118530802/ref=sr_1_189?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-189
252,Doing Data Science in R: An Introduction for Social Scientists,55.00,4.7 out of 5 stars,5,https://www.amazon.com/Doing-Data-Science-Introduction-Scientists/dp/1526486776/ref=sr_1_190?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-190
253,"The Science Teacher's Activity-A-Day, Grades 5-10: Over 180 Reproducible Pages of Quick, Fun Projects that Illustrate Basic Concepts",15.19,4.4 out of 5 stars,322,https://www.amazon.com/Science-Teachers-Activity-Day-Grades/dp/0470408812/ref=sr_1_191?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-191
254,Building Analytics Teams: Harnessing analytics and artificial intelligence for business improvement,36.99,4.5 out of 5 stars,115,https://www.amazon.com/Building-Analytics-Teams-intelligence-improvement/dp/1800203160/ref=sr_1_192?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-192
255,Qualitative Data Analysis: A Methods Sourcebook,85.50,4.7 out of 5 stars,198,https://www.amazon.com/Qualitative-Data-Analysis-Methods-Sourcebook/dp/150635307X/ref=sr_1_193?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-193
256,Be Data Literate: The Data Literacy Skills Everyone Needs To Succeed,15.90,4.2 out of 5 stars,98,https://www.amazon.com/Be-Data-Literate-Literacy-Everyone/dp/1789668018/ref=sr_1_194?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-194
257,Hands-On Healthcare Data,48.99,0,0,https://www.amazon.com/Hands-Healthcare-Data-Andrew-Nguyen-ebook/dp/B0B98VL9CY/ref=sr_1_195?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-195
258,"Data Science Projects with Python: A case study approach to gaining valuable insights from real data with machine learning, 2nd Edition",36.99,4.6 out of 5 stars,49,https://www.amazon.com/Data-Science-Projects-Python-approach/dp/1800564481/ref=sr_1_196?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-196
259,Out of Remote Control (7) (The DATA Set),5.99,4.8 out of 5 stars,51,https://www.amazon.com/Out-Remote-Control-DATA-Set/dp/1481491911/ref=sr_1_197?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-197
260,Data Feminism (Strong Ideas),18.99,4.9 out of 5 stars,201,https://www.amazon.com/Feminism-Strong-Ideas-Catherine-DIgnazio/dp/0262044005/ref=sr_1_198?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415060&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-198
261,Hands-On Data Science with R: Techniques to perform data manipulation and mining to build smart analytical models using R,39.99,4.1 out of 5 stars,5,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mzk5ODA1NTY2MTY1MDY5OjE2NjI0MTUwNjA6c3BfYnRmOjIwMDAwOTc5NDA0NjY3MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FHands-Data-Science-Techniques-manipulation%2Fdp%2F1789139406%2Fref%3Dsr_1_199_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415060%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-199-spons%26psc%3D1
262,"Scientific Computing with Python: High-performance scientific computing with NumPy, SciPy, and pandas, 2nd Edition",39.99,4.6 out of 5 stars,22,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mzk5ODA1NTY2MTY1MDY5OjE2NjI0MTUwNjA6c3BfYnRmOjIwMDA3OTIxNTA4MzM3MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FScientific-Computing-Python-High-performance-scientific%2Fdp%2F1838822321%2Fref%3Dsr_1_200_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415060%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-200-spons%26psc%3D1
263,Pre-Algebra (Quickstudy Reference Guides - Academic),6.95,4.7 out of 5 stars,634,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mzk5ODA1NTY2MTY1MDY5OjE2NjI0MTUwNjA6c3BfYnRmOjIwMDA0OTI3NzgwMzU5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FPre-Algebra-Quickstudy-Reference-Guides-Academic%2Fdp%2F1572227265%2Fref%3Dsr_1_201_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415060%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-201-spons%26psc%3D1
264,"On Rationality, Artificial Intelligence And Economics",88.00,0,0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NjIzNDk1ODAyODMyOTk2OjE2NjI0MTUwNzI6c3BfYXRmX25leHQ6MjAwMDU3OTMxMjQxNzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FRationality-Artificial-Intelligence-Economics%2Fdp%2F9811255113%2Fref%3Dsr_1_193_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415072%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-193-spons%26psc%3D1
265,Regression Analysis: An Intuitive Guide for Using and Interpreting Linear Models,23.74,4.6 out of 5 stars,124,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NjIzNDk1ODAyODMyOTk2OjE2NjI0MTUwNzI6c3BfYXRmX25leHQ6MjAwMDQzNDMwNzY4MDgxOjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FRegression-Analysis-Intuitive-Interpreting-Linear%2Fdp%2F1735431184%2Fref%3Dsr_1_194_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415072%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-194-spons%26psc%3D1
266,"Models, Metaphor and Meaning: How Data Models use Metaphor to Convey Meaning",22.99,4.7 out of 5 stars,7,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NjIzNDk1ODAyODMyOTk2OjE2NjI0MTUwNzI6c3BfYXRmX25leHQ6MjAwMDY3NTM0MDc3Mzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FModels-Metaphor-Meaning-Data-Convey%2Fdp%2F1477590765%2Fref%3Dsr_1_195_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415072%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-195-spons%26psc%3D1
267,"Schaum's Outline of Discrete Mathematics, Fourth Edition (Schaum's Outlines)",23.00,5.0 out of 5 stars,8,https://www.amazon.com/Schaums-Outline-Discrete-Mathematics-Fourth/dp/1264258801/ref=sr_1_196?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415072&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-196
268,Data Management at Scale: Best Practices for Enterprise Architecture,44.49,4.4 out of 5 stars,93,https://www.amazon.com/Data-Management-Scale-Enterprise-Architecture/dp/149205478X/ref=sr_1_197?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415072&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-197
269,Introduction to Biomedical Data Science,64.95,5.0 out of 5 stars,6,https://www.amazon.com/Introduction-Biomedical-Data-Science-Robert/dp/179476173X/ref=sr_1_198?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415072&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-198
270,Machine Learning for Absolute Beginners: A Plain English Introduction (Third Edition) (Machine Learning with Python for Beginners Book 1),0.00,4.5 out of 5 stars,153,https://www.amazon.com/Machine-Learning-Absolute-Beginners-Introduction-ebook/dp/B08RWBSKQB/ref=sr_1_199?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415072&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-199
271,Experimentation for Engineers: From A/B testing to Bayesian optimization,49.99,0,0,https://www.amazon.com/Tuning-Up-testing-Bayesian-optimization/dp/1617298158/ref=sr_1_200?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415072&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-200
272,"Google BigQuery: The Definitive Guide: Data Warehousing, Analytics, and Machine Learning at Scale",29.99,4.5 out of 5 stars,92,https://www.amazon.com/Google-BigQuery-Definitive-Warehousing-Analytics/dp/1492044466/ref=sr_1_201?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415072&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-201
273,Don't Trust Your Gut: Using Data to Get What You Really Want in LIfe,14.99,4.3 out of 5 stars,177,https://www.amazon.com/Dont-Trust-Your-Gut-Really-ebook/dp/B0983M7Z7H/ref=sr_1_202?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415072&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-202
274,"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",0.00,4.4 out of 5 stars,"2,309",https://www.amazon.com/Everybody-Lies-audiobook/dp/B06XCYD5KG/ref=sr_1_203?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415072&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-203
275,Excel Formulas (Quick Study Computer),5.95,4.6 out of 5 stars,"2,008",https://www.amazon.com/Excel-Formulas-Quick-Study-Computer/dp/1423221699/ref=sr_1_204?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415072&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-204
276,Executive Data Science,19.99,4.0 out of 5 stars,11,https://www.amazon.com/Executive-Data-Science-Roger-Peng/dp/1365121976/ref=sr_1_205?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415072&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-205
277,Secondary Data in Mixed Methods Research (Mixed Methods Research Series),45.00,4.4 out of 5 stars,4,https://www.amazon.com/Secondary-Data-Mixed-Methods-Research/dp/1506389570/ref=sr_1_206?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415072&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-206
278,"Big Data: A Revolution That Will Transform How We Live, Work, and Think",15.95,4.3 out of 5 stars,831,https://www.amazon.com/Big-Data-Revolution-Transform-Think/dp/0544227751/ref=sr_1_207?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662415072&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-207
279,"Go for No! Yes is the Destination, No is How You Get There",12.00,4.7 out of 5 stars,"3,520",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NjIzNDk1ODAyODMyOTk2OjE2NjI0MTUwNzI6c3BfbXRmOjIwMDA1OTQ3NTg0ODI5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FYes-Destination-How-You-There%2Fdp%2F0966398130%2Fref%3Dsr_1_208_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662415072%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-208-spons%26psc%3D1
