,Nme of book,Price,Rating stars,Rating count,Link to the book
12,Python Programming for Beginners: The Ultimate Crash Course to Learn Python in 7 Days with Step-by-Step Guidance and Hands-On Exercises,19.61,4.6 out of 5 stars,181,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxOTA2NDY3NzUxNTQ3ODMxOjE2NjI0MTQ5ODA6c3BfbXRmOjIwMDA2NzcwOTYxMTA5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FPython-Programming-Beginners-Step-Hands%2Fdp%2FB0B3S3RFQT%2Fref%3Dsr_1_13_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662414980%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-13-spons%26psc%3D1
13,Data Visualization in Python with Pandas and Matplotlib,45.79,4.1 out of 5 stars,19,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxOTA2NDY3NzUxNTQ3ODMxOjE2NjI0MTQ5ODA6c3BfbXRmOjIwMDA4Mzg0NDk0MDI1MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FData-Visualization-Python-Pandas-Matplotlib%2Fdp%2FB0972TFYN8%2Fref%3Dsr_1_14_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662414980%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-14-spons%26psc%3D1
14,"Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python, R, and command-line tools",39.99,4.8 out of 5 stars,27,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxOTA2NDY3NzUxNTQ3ODMxOjE2NjI0MTQ5ODA6c3BfbXRmOjIwMDA1OTMwMDI1Njk3MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FCleaning-Data-Effective-Science-command-line%2Fdp%2F1801071292%2Fref%3Dsr_1_15_sspa%3Fcrid%3D3RJJC3J5VZT3C%26keywords%3DData%2Bscience%2Bbooks%26qid%3D1662414980%26refinements%3Dp_n_feature_nine_browse-bin%253A3291437011%26rnid%3D3291435011%26s%3Dbooks%26sprefix%3Ddata%2Bscience%2Bbooks%252Caps%252C219%26sr%3D1-15-spons%26psc%3D1
15,Data Science (The MIT Press Essential Knowledge series),9.61,4.5 out of 5 stars,381,https://www.amazon.com/Data-Science-Press-Essential-Knowledge/dp/0262535432/ref=sr_1_16?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414980&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-16
16,Fundamentals of Data Engineering: Plan and Build Robust Data Systems,55.99,5.0 out of 5 stars,18,https://www.amazon.com/Fundamentals-Data-Engineering-Robust-Systems/dp/1098108302/ref=sr_1_17?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414980&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-17
17,Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R,44.99,4.3 out of 5 stars,63,https://www.amazon.com/Hands-Data-Science-Marketing-strategies/dp/1789346347/ref=sr_1_18?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414980&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-18
18,The Data Science Handbook: Advice and Insights from 25 Amazing Data Scientists,24.99,4.4 out of 5 stars,55,https://www.amazon.com/Data-Science-Handbook-Insights-Scientists/dp/0692434879/ref=sr_1_19?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414980&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-19
19,Machine Learning in Biotechnology and Life Sciences: Build machine learning models using Python and deploy them on the cloud,49.99,4.1 out of 5 stars,23,https://www.amazon.com/Machine-Learning-Biotechnology-Life-Sciences/dp/1801811911/ref=sr_1_20?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414980&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-20
20,Machine Learning in Business: An Introduction to the World of Data Science,39.00,4.8 out of 5 stars,22,https://www.amazon.com/Machine-Learning-Business-Introduction-Science/dp/B095K4GM2P/ref=sr_1_21?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414980&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-21
21,"Python for Data Analysis: Data Wrangling with pandas, NumPy, and Jupyter",62.99,0,0,https://www.amazon.com/Python-Data-Analysis-Wrangling-Jupyter/dp/109810403X/ref=sr_1_22?crid=3RJJC3J5VZT3C&keywords=Data+science+books&qid=1662414980&refinements=p_n_feature_nine_browse-bin%3A3291437011&rnid=3291435011&s=books&sprefix=data+science+books%2Caps%2C219&sr=1-22
